Fecha;Cierre;Apertura
07-jun-2017;36.195;36.37
06-jun-2017;36.655;36.81
05-jun-2017;36.63;36.87
02-jun-2017;36.665;36.6
01-jun-2017;36.31;36.525
31-may-2017;36.395;36.31
30-may-2017;36.335;35.885
29-may-2017;35.975;36.26
26-may-2017;36.27;35.99
25-may-2017;35.975;36.28
24-may-2017;36.095;36.2
23-may-2017;36.175;36.335
22-may-2017;36.34;36.13
19-may-2017;35.935;35.885
18-may-2017;35.905;36.075
17-may-2017;36.005;36.375
16-may-2017;36.46;36.35
15-may-2017;36.285;36.43
12-may-2017;36.43;35.85
11-may-2017;35.85;36.55
10-may-2017;36.505;36.6
09-may-2017;36.535;36.23
08-may-2017;36.085;36.355
05-may-2017;36.315;36.22
04-may-2017;36.18;35.9
03-may-2017;35.71;35.28
02-may-2017;35.435;35.28
28-abr-2017;35.21;34.865
27-abr-2017;34.83;34.7
26-abr-2017;34.96;35.02
25-abr-2017;35.15;35.195
24-abr-2017;35.015;35.115
21-abr-2017;34.19;34.08
20-abr-2017;34.215;34.25
19-abr-2017;34.405;34.17
18-abr-2017;34.17;34.5
13-abr-2017;34.325;33.915
12-abr-2017;33.895;34.02
11-abr-2017;33.95;33.715
10-abr-2017;33.85;33.79
07-abr-2017;33.92;33.715
06-abr-2017;33.68;33.05
05-abr-2017;32.88;33.2
04-abr-2017;33.055;32.735
03-abr-2017;32.735;33.04
31-mar-2017;33.04;32.47
30-mar-2017;32.55;32.75
29-mar-2017;32.685;32.665
28-mar-2017;32.51;32.61
27-mar-2017;32.555;32.15
24-mar-2017;32.35;32.43
23-mar-2017;32.505;31.885
22-mar-2017;31.81;31.805
21-mar-2017;32.005;32.085
20-mar-2017;32.035;31.9
17-mar-2017;31.905;31.9
16-mar-2017;31.68;31.65
15-mar-2017;31.405;31.65
14-mar-2017;31.39;31.2
13-mar-2017;31.28;31.5
10-mar-2017;31.435;31.75
09-mar-2017;31.58;31.08
08-mar-2017;30.93;30.43
07-mar-2017;30.51;30.765
06-mar-2017;30.6;30.61
03-mar-2017;30.63;30.6
02-mar-2017;30.6;30.93
01-mar-2017;30.89;30.56
28-feb-2017;30.32;30.065
27-feb-2017;29.95;30.325
24-feb-2017;30.205;30.44
23-feb-2017;30.465;30.735
22-feb-2017;30.725;30.96
21-feb-2017;31.015;31.04
20-feb-2017;30.955;31.25
17-feb-2017;31.02;31.155
16-feb-2017;31.175;31.4
15-feb-2017;31.335;31.3
14-feb-2017;31.275;31.38
13-feb-2017;31.335;31.255
10-feb-2017;31.14;31.29
09-feb-2017;31.12;30.945
08-feb-2017;30.86;30.955
07-feb-2017;30.885;30.54
06-feb-2017;30.565;30.7
03-feb-2017;30.725;30.645
02-feb-2017;30.535;30.4
01-feb-2017;30.53;30.855
31-ene-2017;30.535;30.75
30-ene-2017;30.645;30.84
27-ene-2017;30.85;30.975
26-ene-2017;30.84;31.26
25-ene-2017;31.12;31.2
24-ene-2017;31.02;31.175
23-ene-2017;31.065;31
20-ene-2017;31;31.25
19-ene-2017;31.225;31.39
18-ene-2017;31.35;31.445
17-ene-2017;31.395;31.5
16-ene-2017;31.585;31.72
13-ene-2017;31.93;31.735
12-ene-2017;31.62;31.3
11-ene-2017;31.38;31.675
10-ene-2017;31.63;31.94
09-ene-2017;31.865;31.755
06-ene-2017;31.675;31.48
05-ene-2017;31.45;31.85
04-ene-2017;31.97;32.31
03-ene-2017;32.275;32.7
02-ene-2017;32.6;32.425
